GERP3,vardaf
-0.897,0.146368171455304
1.17,0.0621562658796039
1.16,0.0821593048851962
1.12,0.037771477828025
-1.75,0.18739156302943
-0.666,0.10384910400314
1.61,0.0907432752190078
2.6,0.0222155387658387
-0.647,0.171735641028189
0.671,0.101924629077734
-2.83,0.183761538907388
1.45,0.0578014923866471
1.03,0.0436360060083277
0.973,0.0850399343062897
1.15,0.0544883061080707
1.31,0.138306668699011
1.26,0.0978607453513936
1.1,0.0758489473401055
-0.477,0.188755234153797
1.35,0.125543972178726
0.559,0.0838861200663006
-2.67,0.1875188535975
1.13,0.0478784155699296
3.71,0.131850598725269
1.48,0.0393481488915896
4.24,0.014747880017116
1.68,0.106262661647644
4.07,0.0603424190728477
4.48,0.0380391584292485
1.14,0.0536225849533254
-1.58,0.175398757970827
0.345,0.146353211570315
-3.65,0.187162106386923
-1.24,0.180911241475681
1.46,0.110543550067326
-0.929,0.191013726826926
-1.25,0.179204882820344
1.3,0.0498733602688355
1.32,0.131453894102692
-0.444,0.175235685764594
1.62,0.0295431826014485
-1.9,0.170668427397981
1.7,0.0227768268582718
-0.618,0.170205509326815
1.49,0.179860972101199
0.526,0.170288715728808
0.303,0.18525997106462
-1.19,0.170079993135308
-1.21,0.172288868041939
-1.62,0.177445242159231
-1.1,0.167770767253686
-3.15,0.196134089758942
1.33,0.0279180991945837
0.567,0.0621640752789353
-2,0.176512469870972
-0.429,0.112185916862232
0.621,0.0477337124588426
0.576,0.0702308033528957
-1.8,0.183712782367975
2.07,0.0267383683503033
1.56,0.0751418015027983
0.965,0.147478211406322
0.978,0.0713925393574297
0.497,0.122384174805332
1.9,0.110546979764233
-0.319,0.156185050404871
1.37,0.150263530948726
3.53,0.0990049536946015
0.453,0.12033406707444
-4.66,0.197344003549191
-0.18,0.168971374870505
2.92,0.0625819463995608
0.864,0.0461315814349112
2.13,0.10148529847743
3.67,0.144050282205167
3.68,0.0666616484622869
4.7,0.0117009473562009
1.79,0.0478113654683263
3.59,0.0219594627973408
2.58,0.0393005470011445
-0.93,0.181890024384901
0.523,0.1900908672148
1.51,0.0536923081539503
1.57,0.108502407767226
1.07,0.0757870222208059
0.15,0.180269449829504
-0.189,0.172966686755037
0.136,0.173627961138366
0.126,0.0742320582431617
-0.624,0.179490480112166
1.5,0.140387650952488
-0.804,0.167220766519611
2.33,0.0747026755400568
2.05,0.0852625763918992
-0.834,0.167938200157604
-1.15,0.180126869065723
0.337,0.150032393000471
-1.2,0.171686893522821
0.336,0.152006313748572
-2.23,0.186817176696027
