GERP2,vardaf
-0.9,0.158849028063815
1.17,0.0621562658796039
1.16,0.0821593048851962
1.12,0.037771477828025
-1.75,0.18739156302943
-0.67,0.164339969145868
1.61,0.0907432752190078
2.6,0.0222155387658387
-0.65,0.168389279505003
0.67,0.0971912442911396
-2.83,0.183761538907388
1.45,0.0578014923866471
1.03,0.0436360060083277
0.97,0.0504110320230262
1.15,0.0544883061080707
1.31,0.138306668699011
1.26,0.0978607453513936
1.1,0.0758489473401055
-0.48,0.175093011120329
1.35,0.125543972178726
0.56,0.186105225703595
-2.67,0.1875188535975
1.13,0.0478784155699296
3.71,0.131850598725269
1.48,0.0393481488915896
4.24,0.014747880017116
1.68,0.106262661647644
4.07,0.0603424190728477
4.48,0.0380391584292485
1.14,0.0536225849533254
-1.58,0.175398757970827
0.34,0.130032350876686
-3.65,0.187162106386923
-1.24,0.180911241475681
1.46,0.110543550067326
-0.93,0.174705104808016
-1.25,0.179204882820344
1.3,0.0498733602688355
1.32,0.131453894102692
-0.44,0.170363605839302
1.62,0.0295431826014485
-1.9,0.170668427397981
1.7,0.0227768268582718
-0.62,0.175700341293924
1.49,0.179860972101199
0.53,0.176802059794995
0.3,0.158408987995329
-1.19,0.170079993135308
-1.21,0.172288868041939
-1.62,0.177445242159231
-1.1,0.167770767253686
-3.15,0.196134089758942
1.33,0.0279180991945837
0.57,0.123331647501489
-2,0.176512469870972
-0.43,0.144463662873507
0.62,0.109278861254804
0.58,0.152929336430312
-1.8,0.183712782367975
2.07,0.0267383683503033
1.56,0.0751418015027983
0.96,0.111197060095798
0.98,0.0848235743150638
0.5,0.0850555017809569
1.9,0.110546979764233
-0.32,0.169638550100454
1.37,0.150263530948726
3.53,0.0990049536946015
0.45,0.17626389756704
-4.66,0.197344003549191
-0.18,0.178591744769936
2.92,0.0625819463995608
0.86,0.0871839734172735
2.13,0.10148529847743
3.67,0.144050282205167
3.68,0.0666616484622869
4.7,0.0117009473562009
1.79,0.0478113654683263
3.59,0.0219594627973408
2.58,0.0393005470011445
0.52,0.0810826280974546
1.51,0.0536923081539503
1.57,0.108502407767226
1.07,0.0757870222208059
0.15,0.149218644629227
-0.19,0.148729730574883
0.14,0.172602116174857
0.13,0.141233014332564
1.5,0.140387650952488
-0.8,0.1648785808454
2.33,0.0747026755400568
2.05,0.0852625763918992
-0.83,0.164388546855122
-1.15,0.180126869065723
-1.2,0.171686893522821
-2.23,0.186817176696027
0.06,0.171814508088568
-0.09,0.163342273794668
-1.18,0.163380625065624
0.02,0.163704811216187
-1.87,0.178805290807025
0.68,0.171950212158818
1.25,0.0379499375520193
0.23,0.116147825253044
0.01,0.108639793375251
1.83,0.0778559997423056
2.86,0.0994076291144201
3.07,0.0479611570482498
-3.76,0.19337956892795
1.04,0.0586337664484851
0.26,0.143828006935269
-2.36,0.187124176792475
-0.15,0.15170062119017
0,0.136720952957589
0.84,0.106519637879674
1.81,0.0682318046748838
-5.7,0.190183489827856
2.04,0.0986244571481285
-6.02,0.203187561259921
-0.23,0.154627714741443
2.97,0.0954855078198397
1.94,0.0791585025433192
0.47,0.149375050873097
2.09,0.0329725540377122
-4.18,0.193761266257238
0.7,0.0857316458647513
2.98,0.100155068844622
-0.92,0.17994163468832
0.46,0.127709694901503
-2.19,0.181774668614841
0.76,0.0818273800954365
-0.05,0.177542635708513
-0.74,0.186275537216682
-0.11,0.151256499636505
-0.08,0.164345433443998
-0.02,0.166768510489642
0.11,0.146466874134465
-0.33,0.163382920089304
0.1,0.11964430320305
0.05,0.176956053374823
-2.5,0.181271083454103
-1.56,0.173748680988123
-1.37,0.182222267456695
3.88,0.0753111778846154
-0.13,0.183599852236901
0.24,0.0903642956711349
1.84,0.104980310236348
0.42,0.116695180265235
2,0.072844249226535
2.2,0.0490728991701961
-4.4,0.194525462349425
2.1,0.0915696608163718
1.87,0.114268260973437
-2.65,0.194289959966499
0.18,0.173341202517093
1.53,0.034753462158446
2.29,0.0515779764894399
1.42,0.109956431146114
3.31,0.0263314326119194
0.74,0.0923952191834086
1.88,0.0532655266745839
2.35,0.100270015262276
1.34,0.038726073931059
4.94,0.0176561311721769
6,0.0105031964333168
-1.48,0.167956557817605
0.65,0.076742580273636
2.71,0.108343305278959
4.16,0.0935052769313018
0.91,0.131120767173332
0.73,0.122180104230005
3.66,0.0715584160305344
-1.85,0.176379506651231
-7.33,0.193256646464646
-4.65,0.197121229380862
0.54,0.0601706817338737
1.01,0.0706076130109234
-2.89,0.19757262065182
-2.47,0.185551576922797
-1.41,0.179950392990529
-2.53,0.186698334566201
-3.88,0.202355834502656
-4.49,0.186432950016361
2.83,0.112752140750988
0.35,0.170696899406532
-0.49,0.169303412341331
0.2,0.144865809585462
-2.6,0.182089804082386
-1.83,0.173478543783477
-2.64,0.17869257379753
-1.76,0.172882434954678
3.56,0.100664858401984
-2.81,0.18503337673905
-0.46,0.170778942280948
-0.34,0.165157420379996
-1.63,0.172576330280122
-0.35,0.144479032800667
-0.41,0.157135695020092
-1.79,0.167756655532968
-0.38,0.147138791617453
0.89,0.0561675869482218
-1.78,0.176242627476779
-0.72,0.165986979546297
-0.28,0.170186874017389
0.8,0.0982237708768309
-2.07,0.169661959187019
